Run,ColdStartTime(ms),DigiaInitTime(ms),Timestamp
1,35,10,2025-04-29 15:19:33
2,65,50,2025-04-29 15:19:34
3,73,59,2025-04-29 15:19:36
4,93,64,2025-04-29 15:19:37
5,34,8,2025-04-29 15:19:38
6,96,70,2025-04-29 15:19:40
7,78,60,2025-04-29 15:19:41
8,38,10,2025-04-29 15:19:43
9,79,52,2025-04-29 15:19:44
10,52,20,2025-04-29 15:19:45
11,91,64,2025-04-29 15:19:47
12,80,65,2025-04-29 15:19:48
13,73,57,2025-04-29 15:19:50
14,78,52,2025-04-29 15:19:51
15,49,15,2025-04-29 15:19:52
